station_id,affected_line,tube_station_id,dist_m
24,piccadilly_line,940GZZLUHBN,335.2521436273551
25,circle_line,9400ZZLUESQ1,414.187651451813
25,hammersmith-city_line,9400ZZLUESQ1,414.187651451813
25,metropolitan_line,9400ZZLUESQ1,414.187651451813
25,northern_line,9400ZZLUEUS3,54.48422008148631
25,piccadilly_line,940GZZLUKSX,658.6714640424609
25,victoria_line,9400ZZLUEUS6,83.70250405568099
26,circle_line,9400ZZLUKSX8,484.3126117119323
26,hammersmith-city_line,9400ZZLUKSX8,484.3126117119323
26,metropolitan_line,9400ZZLUKSX8,484.3126117119323
26,northern_line,9400ZZLUKSX5,466.9384076479996
26,piccadilly_line,940GZZLUKSX,506.315948764288
26,victoria_line,9400ZZLUKSX2,445.93268318350675
28,bakerloo_line,9400ZZLURGP2,189.7124332014632
28,circle_line,9400ZZLUGPS2,45.072844199050586
28,hammersmith-city_line,9400ZZLUGPS2,45.072844199050586
28,metropolitan_line,9400ZZLUGPS2,45.072844199050586
28,northern_line,940GZZLUWRR,399.2915750920907
28,victoria_line,9400ZZLUWRR4,343.3597130639391
29,central_line,940GZZLUNHG,543.3457030635428
29,circle_line,9400ZZLUBWT2,396.7283482041904
29,district_line,9400ZZLUBWT2,396.7283482041904
29,hammersmith-city_line,940GZZLURYO,682.0128220506596
30,northern_line,HUBOLD,498.77961513350965
31,northern_line,940GZZLUODS,510.0720951679218
33,circle_line,9400ZZLUALD3,389.05680235397335
33,district_line,9400ZZLUADE2,81.20840908514788
33,hammersmith-city_line,9400ZZLUADE2,81.20840908514788
33,metropolitan_line,9400ZZLUALD4,388.0206451003933
34,circle_line,HUBKGX,487.07257169051667
34,hammersmith-city_line,HUBKGX,487.07257169051667
34,metropolitan_line,HUBKGX,487.07257169051667
34,northern_line,HUBKGX,487.07257169051667
34,piccadilly_line,HUBKGX,487.07257169051667
34,victoria_line,HUBKGX,487.07257169051667
36,circle_line,9400ZZLUHSK2,518.787010059232
36,district_line,9400ZZLUHSK2,518.787010059232
37,circle_line,9400ZZLUGTR1,703.4145459783953
37,district_line,940GZZLUECT,87.24181275913944
37,piccadilly_line,940GZZLUECT,87.24181275913944
38,circle_line,9400ZZLUHSK2,483.95344154231526
38,district_line,9400ZZLUHSK2,483.95344154231526
38,piccadilly_line,940GZZLUECT,649.7175598038592
39,northern_line,9400ZZLUODS2,658.1118119518958
40,central_line,9400ZZLULVT1,573.4029463311083
40,circle_line,HUBLST,642.2312473339913
40,district_line,9400ZZLUADE2,710.2144085263941
40,hammersmith-city_line,HUBLST,642.2312473339913
40,metropolitan_line,HUBLST,642.2312473339913
41,central_line,9400ZZLULVT1,330.1667209654033
41,circle_line,HUBLST,336.0340549154616
41,hammersmith-city_line,HUBLST,336.0340549154616
41,metropolitan_line,HUBLST,336.0340549154616
41,northern_line,9400ZZLUMGT4,372.6663342398575
42,northern_line,HUBOLD,675.3162462733255
43,bakerloo_line,940GZZLUBST,291.6873430237429
43,central_line,9400ZZLUMBA1,742.0252648622532
43,circle_line,9400ZZLUBST3,225.4362458621762
43,district_line,9400ZZLUERC3,730.7630126940395
43,hammersmith-city_line,9400ZZLUBST3,225.4362458621762
43,jubilee_line,940GZZLUBST,291.6873430237429
43,metropolitan_line,9400ZZLUBST8,283.41353931445803
44,bakerloo_line,940GZZLUOXC,523.0162965296719
44,central_line,HUBBDS,433.50062051708153
44,jubilee_line,940GZZLUGPK,431.97618314826434
44,piccadilly_line,9400ZZLUGPK6,428.5356225212883
44,victoria_line,940GZZLUGPK,431.97618314826434
45,bakerloo_line,940GZZLUMYB,66.30893385807651
45,circle_line,940GZZLUBST,359.93793301570844
45,district_line,9400ZZLUERC3,481.0563414946508
45,hammersmith-city_line,940GZZLUBST,359.93793301570844
45,jubilee_line,9400ZZLUBST5,326.29774561851264
45,metropolitan_line,940GZZLUBST,359.93793301570844
46,circle_line,940GZZLUTWH,737.8745906897597
46,district_line,940GZZLUTWH,737.8745906897597
47,bakerloo_line,940GZZLUWKA,10.006006239924158
47,circle_line,9400ZZLURYO2,563.0443077438647
47,hammersmith-city_line,9400ZZLURYO2,563.0443077438647
48,central_line,940GZZLUSPU,293.6011230734037
48,circle_line,9400ZZLUMSH2,296.15868030392625
48,district_line,9400ZZLUMSH2,296.15868030392625
48,northern_line,HUBBAN,702.5328914644755
48,waterloo-city_line,9400ZZLUBNK3,633.4255814776093
49,central_line,HUBBDS,727.7899543200668
49,jubilee_line,940GZZLUGPK,216.1531388513269
49,piccadilly_line,940GZZLUGPK,216.1531388513269
49,victoria_line,940GZZLUGPK,216.1531388513269
50,northern_line,HUBOLD,294.40826889072287
51,circle_line,9400ZZLUFCN1,700.3966095332102
51,hammersmith-city_line,9400ZZLUFCN1,700.3966095332102
51,metropolitan_line,9400ZZLUFCN1,700.3966095332102
51,northern_line,9400ZZLUAGL2,574.9112054604275
52,circle_line,9400ZZLUBBN1,359.62974987996284
52,hammersmith-city_line,9400ZZLUBBN1,359.62974987996284
52,metropolitan_line,9400ZZLUBBN1,359.62974987996284
52,northern_line,9400ZZLUODS1,558.8721557643415
53,bakerloo_line,9400ZZLUPCC1,568.5417547330785
53,central_line,HUBBDS,524.3508107872093
53,jubilee_line,940GZZLUGPK,342.1156350645958
53,piccadilly_line,9400ZZLUGPK6,335.2779362557664
53,victoria_line,940GZZLUGPK,342.1156350645958
54,central_line,9400ZZLUSPU2,777.6409957942998
54,circle_line,9400ZZLUBBN1,288.0160081325876
54,hammersmith-city_line,9400ZZLUBBN1,288.0160081325876
54,metropolitan_line,9400ZZLUBBN1,288.0160081325876
54,northern_line,HUBZMG,554.4448790485186
55,central_line,940GZZLULVT,244.6271033726357
55,circle_line,940GZZLUMGT,166.78771584282632
55,district_line,940GZZLUCST,670.9271862138908
55,hammersmith-city_line,940GZZLUMGT,166.78771584282632
55,metropolitan_line,940GZZLUMGT,166.78771584282632
55,northern_line,940GZZLUMGT,166.78771584282632
55,waterloo-city_line,9400ZZLUBNK8,434.119094367258
56,bakerloo_line,940GZZLUBST,306.0231021581926
56,central_line,9400ZZLUBND1,776.1451857199481
56,circle_line,9400ZZLUBST4,237.31300596302194
56,hammersmith-city_line,9400ZZLUBST4,237.31300596302194
56,jubilee_line,940GZZLUBST,306.0231021581926
56,metropolitan_line,9400ZZLUBST8,284.78710641518427
57,central_line,9400ZZLUHBN1,628.7743973124527
57,circle_line,9400ZZLUKSX8,770.0809045331197
57,hammersmith-city_line,9400ZZLUKSX8,770.0809045331197
57,metropolitan_line,9400ZZLUKSX8,770.0809045331197
57,piccadilly_line,940GZZLURSQ,284.1096109789154
58,central_line,9400ZZLULVT1,740.7126541617845
58,circle_line,HUBLST,780.795110925449
58,hammersmith-city_line,HUBLST,780.795110925449
58,metropolitan_line,HUBLST,780.795110925449
58,northern_line,9400ZZLUODS1,576.4422476002859
